name1,nam2,money_1,money_2,result
34,12,1.2,2.17,1
4,12,4.03,1.6,0
72,12,0.108,1.3,-1
39,2,1.16,2.67,1
26,2,1.64,1.71,-1
19,2,0.96,2.82,0
8,2,3.07,2.64,1
49,2,0.542,2.15,0
16,31,1.3,0.1275,0
41,31,0.9285,0.17,-1
60,31,0.05,0.0308,1
5,11,6.16,4.74,0
36,11,0.78,4.45,0
6,11,3.44,3.75,-1
36,11,0.724,4.25,1
76,11,0.3185,3.92,-1
28,31,1.2,0.0732,0
1,24,5.22,0.4785,1
61,24,0.3488,0.364,-1
96,24,0.08,0.249,0
79,24,0.0848,0.449,-1
15,9,1.04,3.92,-1
7,9,3.35,4.21,0
45,9,2.14,3.65,-1
15,9,1.56,4.13,1
65,9,0.584,4.18,-1
1,61,5.86,0.74,1
24,61,0.364,0.3488,1
91,61,0.09,0.3,-1
15,61,1.45,0.45,-1
41,14,1.43,2.35,-1
13,14,1,2.25,-1
20,14,0.347,2.62,1
47,14,0.645,2.41,-1
29,14,0.3745,2.09,-1
43,28,0.669,1.23,-1
1,28,3.64,1.11,1
31,28,0.0732,1.2,0
20,28,0.3888,1.16,-1
44,50,0.511,0.135,1
50,44,0.135,0.511,-1
5,20,6.16,0.347,1
20,5,0.347,6.16,-1
18,8,2.53,3.39,-1
8,18,3.39,2.53,1
16,19,1.35,0.988,0
19,16,0.988,1.35,0
3,51,3.55,0.108,1
51,3,0.108,3.55,-1
10,30,2.14,0.2532,0
30,10,0.2532,2.14,0
13,26,1.32,1.72,0
26,13,1.72,1.32,0
4,38,5.07,0.2282,1
38,4,0.2282,5.07,-1
